time,function,GEN_PROC_COELHOS,GEN_PROC_RAPOSA,GEN_COMIDA_RAPOSA,N_GEN,L,C,N
2.236339,main,5,10,10,100,1000,1000,10
2.194871,main,5,10,10,100,1000,1000,10
2.123622,main,5,10,10,100,1000,1000,10
2.128583,main,5,10,10,100,1000,1000,10
2.165650,main,5,10,10,100,1000,1000,10
2.161384,main,5,10,10,100,1000,1000,10
2.142130,main,5,10,10,100,1000,1000,10
2.174715,main,5,10,10,100,1000,1000,10
2.178964,main,5,10,10,100,1000,1000,10
2.204440,main,5,10,10,100,1000,1000,10
2.141747,main,10,10,5,100,1000,1000,10
2.166370,main,10,10,5,100,1000,1000,10
2.143721,main,10,10,5,100,1000,1000,10
2.281520,main,10,10,5,100,1000,1000,10
2.257741,main,10,10,5,100,1000,1000,10
2.270790,main,10,10,5,100,1000,1000,10
2.283029,main,10,10,5,100,1000,1000,10
2.295510,main,10,10,5,100,1000,1000,10
2.190841,main,10,10,5,100,1000,1000,10
2.153930,main,10,10,5,100,1000,1000,10
1.129258,main,10,10,10,50,1000,1000,10
1.200395,main,10,10,10,50,1000,1000,10
1.233297,main,10,10,10,50,1000,1000,10
1.174378,main,10,10,10,50,1000,1000,10
1.126365,main,10,10,10,50,1000,1000,10
1.166148,main,10,10,10,50,1000,1000,10
1.150592,main,10,10,10,50,1000,1000,10
1.141784,main,10,10,10,50,1000,1000,10
1.169606,main,10,10,10,50,1000,1000,10
1.183528,main,10,10,10,50,1000,1000,10
2.283384,main,10,10,10,100,1000,1000,5
2.137955,main,10,10,10,100,1000,1000,5
2.213623,main,10,10,10,100,1000,1000,5
2.319845,main,10,10,10,100,1000,1000,5
2.319406,main,10,10,10,100,1000,1000,5
2.312072,main,10,10,10,100,1000,1000,5
2.326844,main,10,10,10,100,1000,1000,5
2.339963,main,10,10,10,100,1000,1000,5
2.157906,main,10,10,10,100,1000,1000,5
2.331690,main,10,10,10,100,1000,1000,5
2.222086,main,20,10,10,100,1000,1000,10
2.322260,main,20,10,10,100,1000,1000,10
2.358099,main,20,10,10,100,1000,1000,10
2.336580,main,20,10,10,100,1000,1000,10
2.288838,main,20,10,10,100,1000,1000,10
2.275497,main,20,10,10,100,1000,1000,10
2.272116,main,20,10,10,100,1000,1000,10
2.267654,main,20,10,10,100,1000,1000,10
2.284608,main,20,10,10,100,1000,1000,10
2.250983,main,20,10,10,100,1000,1000,10
2.291727,main,10,20,10,100,1000,1000,10
2.273132,main,10,20,10,100,1000,1000,10
2.310709,main,10,20,10,100,1000,1000,10
2.269878,main,10,20,10,100,1000,1000,10
2.282699,main,10,20,10,100,1000,1000,10
2.291286,main,10,20,10,100,1000,1000,10
2.327601,main,10,20,10,100,1000,1000,10
2.311584,main,10,20,10,100,1000,1000,10
2.329285,main,10,20,10,100,1000,1000,10
2.338820,main,10,20,10,100,1000,1000,10
2.340371,main,10,10,20,100,1000,1000,10
2.352473,main,10,10,20,100,1000,1000,10
2.354397,main,10,10,20,100,1000,1000,10
2.362829,main,10,10,20,100,1000,1000,10
2.352924,main,10,10,20,100,1000,1000,10
2.343806,main,10,10,20,100,1000,1000,10
2.355237,main,10,10,20,100,1000,1000,10
2.357942,main,10,10,20,100,1000,1000,10
2.349911,main,10,10,20,100,1000,1000,10
2.220772,main,10,10,20,100,1000,1000,10
4.191033,main,10,10,10,200,1000,1000,10
4.729283,main,10,10,10,200,1000,1000,10
4.324816,main,10,10,10,200,1000,1000,10
4.435223,main,10,10,10,200,1000,1000,10
4.727131,main,10,10,10,200,1000,1000,10
4.752398,main,10,10,10,200,1000,1000,10
4.620017,main,10,10,10,200,1000,1000,10
4.301484,main,10,10,10,200,1000,1000,10
4.686817,main,10,10,10,200,1000,1000,10
4.678085,main,10,10,10,200,1000,1000,10
9.617136,main,10,10,10,100,2000,2000,10
9.245438,main,10,10,10,100,2000,2000,10
9.405505,main,10,10,10,100,2000,2000,10
10.125382,main,10,10,10,100,2000,2000,10
